b; rf; rwz; rs; st; f; rs; b; f; rs; b; f; rwz; rwz; rwz; f; b; rs; b; rw;
b; rs; rwz; f; rwz; st; rwz; rw; b; rf; rw; rfz; st; rf; rf; rwz; rf; f; rw; b;
st; st; rw; b; b; b; rw; rw; rf; rw; rfz; rwz; f; b; f; rfz; rf; rfz; st; rwz;
st; b; rw; st; rs; b; rwz; rf; rs; b; rw; rfz; f; rs; rs; st; f; b; st; rw;
b; rw; st; rfz; rfz; rs; rw; rwz; rfz; b; rs; b; rfz; b; rf; rfz; rw; rf; f; rs;
b; rwz; rfz; rwz; rs; st; rw; rf; b; b; st; rf; b; b; b; rwz; rfz; rf; rwz; rfz;
st; f; b; rs; st; rs; st; rf; f; rfz; st; rw; f; rw; st; rs; rw; rs; st; st;
b; rfz; st; rwz; f; rs; rwz; rf; rw; f; b; rfz; rs; rfz; rw; rw; f; rw; st; st;
b; rf; rs; rw; st; b; st; rw; rw; rwz; b; f; rfz; st; f; rs; st; b; rw; rwz;
b; rf; f; b; rf; b; rw; rfz; rfz; rw; b; rf; rf; rs; rfz; b; b; rw; st; b;
b; rw; rw; st; st; st; f; rfz; rs; f; rwz; st; st; b; rw; rfz; rs; st; rw; rs;
st; rw; st; b; rf; f; rf; st; rfz; rs; rw; st; b; st; rf; rs; rw; st; f; f;
st; rs; rf; rf; rf; rs; rw; rwz; rfz; rfz; rfz; rfz; rf; rw; f; rfz; f; rfz; rwz; f;
b; rs; rf; b; rs; rfz; f; rfz; rfz; b; b; rfz; rw; rw; rs; rwz; rw; rw; rfz; rfz;
b; b; rf; b; st; rs; rfz; rf; rf; rf; rs; rw; st; rw; rs; rw; st; rfz; rw; rwz;
b; rf; st; rw; rf; f; st; rwz; rs; rfz; rw; st; rfz; f; rwz; rwz; rf; rs; rwz; rw;
b; f; f; f; rwz; st; f; b; f; rf; rfz; rw; st; rs; rs; rfz; st; rs; b; rw;
