st; rw; rf; rw; st; rwz; rw; f; st; st; b; rs; f; rw; rfz; rwz; rwz; st; b; rs;
b; rf; rfz; rwz; rw; f; rwz; rwz; rw; rf; rs; rw; st; st; rf; rs; rs; rf; rs; rw;
st; f; st; rfz; rw; rs; st; rw; rw; rfz; st; b; b; rfz; rs; b; rfz; rwz; b; st;
st; b; st; f; f; rf; rf; b; st; f; rw; rs; rfz; rwz; b; b; f; rwz; rw; rf;
b; rf; rf; rwz; rwz; rfz; rfz; rfz; rw; rs; b; f; b; b; rfz; rwz; rw; rw; rw; st;
b; rwz; rw; b; rw; f; st; rs; rwz; st; rw; rs; st; rfz; rfz; rw; rfz; rfz; f; rs;
b; rs; rf; rf; rf; st; rwz; rw; b; rfz; rw; b; rs; rfz; f; b; st; rf; rf; rf;
b; rw; b; rs; rs; f; rw; rf; st; b; rfz; rw; st; rwz; rwz; f; rfz; b; rf; rw;
st; b; st; rw; st; b; rwz; st; rw; rfz; rs; rwz; rw; f; rwz; f; st; b; rf; f;
st; b; rfz; b; rf; rs; rf; rf; st; f; rs; f; b; st; b; b; st; b; st; st;
st; st; f; rf; b; rs; rw; rwz; rs; b; b; st; rw; rs; b; rfz; st; st; rfz; rs;
b; f; rs; rw; rf; rw; rf; st; st; rf; rw; rs; f; rs; f; rwz; rf; b; rfz; rwz;
st; st; rf; st; rwz; rfz; rfz; rs; st; rfz; b; rwz; f; rf; b; f; rfz; rfz; b; st;
b; rwz; rf; rs; rfz; rw; st; st; rwz; f; rf; f; rf; rfz; f; st; rwz; rs; rfz; rwz;
st; rf; st; rw; rf; st; rwz; f; rs; f; rs; rfz; rf; rfz; st; rw; f; f; rw; b;
b; rfz; rs; rs; rfz; st; rfz; rfz; rwz; rs; rfz; rs; b; rwz; rw; rwz; rwz; rw; rwz; f;
