b; rf; f; rfz; rs; f; rfz; st; f; rs; rfz; rf; rfz; rw; rwz; rs; rwz; rw; b; b;
st; rs; st; rw; rfz; rs; rfz; rs; rf; rw; rs; rf; rf; f; st; rfz; rfz; rfz; st; rs;
st; st; rw; rs; b; rs; rf; rs; rw; rw; rw; rs; rs; rw; f; rfz; rs; b; rf; rfz;
st; rwz; rs; rfz; rs; rs; rfz; f; f; rw; rw; rwz; rf; b; rfz; b; rfz; rw; rw; rw;
st; rf; rs; f; rwz; rf; rf; rwz; b; b; rf; rfz; rf; rs; rfz; b; rs; b; rs; rwz;
b; rf; rs; f; b; rfz; st; st; rf; st; rfz; st; rs; rfz; rfz; rs; rfz; rw; rfz; f;
b; rs; rw; b; rw; rw; rfz; st; rwz; st; f; rfz; f; rw; b; st; rf; rf; st; rwz;
st; rf; f; rfz; f; f; rfz; rf; rs; rf; rs; st; b; st; rw; rf; rw; f; st; f;
st; f; rf; rs; rs; rw; rfz; rw; f; rf; rfz; rfz; rs; rf; st; rwz; rf; rf; rwz; st;
st; rs; b; rs; f; rwz; rwz; f; rwz; rfz; rw; rwz; rs; rs; rs; rw; rs; rwz; rf; f;
st; rwz; rs; rf; rf; b; rs; b; rw; f; rf; rw; rfz; rf; rf; f; b; st; st; st;
st; f; st; rs; rf; rs; rf; rf; b; b; rs; rw; b; b; rfz; st; rs; rf; rf; rfz;
st; rw; b; b; st; f; f; rw; rw; rf; rs; f; rs; b; b; rs; rw; rw; rs; f;
b; st; rf; rw; rf; rfz; rfz; rs; b; rfz; rf; rs; rs; rfz; b; st; rw; rf; b; b;
b; rwz; rf; rw; b; rw; rw; rf; rs; rw; st; rfz; rf; st; rs; rw; rfz; rfz; rf; f;
st; rw; rfz; rf; rfz; rf; st; rs; rfz; b; st; rfz; rf; rwz; rs; st; rw; f; rf; rwz;
b; rf; rs; rw; b; rwz; f; rf; rw; f; b; f; b; rw; rs; st; rs; rfz; rfz; f;
b; rs; rwz; f; rw; rs; rw; rfz; rf; rwz; rf; rwz; rf; rf; st; rw; rfz; rfz; f; rwz;
