b; b; f; rwz; st; rf; rfz; rs; b; rfz; rw; rs; rwz; rwz; rf; rf; rfz; rfz; rs; rs;
b; st; rw; rs; rf; rwz; b; rw; st; rs; f; rfz; rwz; b; st; rf; rfz; rw; rs; rwz;
st; f; rwz; rwz; rfz; b; rf; b; rwz; b; rw; st; rw; rf; rf; b; rw; b; rwz; b;
b; rf; rfz; rs; f; rf; rw; rs; b; rs; rfz; rf; rfz; f; st; rf; rfz; rf; f; rs;
b; rf; rwz; rfz; rs; rw; f; rwz; b; rs; rwz; rf; rw; rs; f; rwz; f; rw; rw; rwz;
b; rfz; rfz; st; f; f; b; rf; b; rwz; b; st; rs; rw; rw; rfz; st; rf; st; st;
st; rfz; b; rf; b; st; rf; b; rw; f; rfz; rf; rs; rw; b; f; f; st; st; f;
st; rf; st; rs; b; b; rf; st; f; rw; f; rwz; st; rs; rf; rfz; rs; rfz; b; rwz;
st; rfz; rs; f; rf; rs; b; rw; b; rfz; rf; rwz; rwz; rfz; b; rwz; rs; rw; rwz; rwz;
b; b; rs; st; f; rfz; rf; b; rs; rf; rfz; rw; rwz; st; rfz; rw; f; b; rs; rw;
st; rf; rf; rs; b; rs; rf; rw; rw; rf; rwz; st; f; rw; rf; b; b; rwz; rw; st;
st; st; rs; b; rfz; rfz; rf; rwz; b; b; rs; b; st; st; rw; st; st; b; rwz; rfz;
st; st; rf; rwz; rw; st; rs; b; rw; rfz; rw; st; b; rfz; rfz; rs; f; rwz; f; rf;
st; rf; rfz; f; f; st; rf; f; rs; rs; rwz; st; f; b; f; rw; rs; rwz; rf; b;
b; f; st; rw; rwz; rf; rs; rw; rw; rs; rf; rfz; f; b; b; f; rs; rf; f; st;
b; st; st; rw; f; rf; rwz; rw; f; rfz; rw; rw; rs; rwz; rfz; rwz; rw; rs; rw; rf;
b; rfz; b; rwz; f; rfz; rs; f; rwz; st; rwz; rs; rs; b; f; rfz; f; rwz; rf; st;
