b; f; rw; st; f; f; rf; rf; rw; rwz; st; rs; st; st; rfz; rf; rf; st; rw; f;
st; rw; rw; rf; rs; rs; st; rs; f; rwz; b; rwz; rw; rwz; rf; rf; rfz; st; rw; rf;
b; rw; b; rs; rw; rwz; rs; rf; rfz; rw; rfz; rwz; b; st; f; f; rf; st; b; rfz;
st; f; rwz; f; b; f; rs; b; f; rfz; rw; rwz; rfz; f; b; rfz; rw; b; b; b;
st; rw; rs; st; f; rs; rs; rwz; f; f; rw; st; b; rwz; rs; st; rwz; b; rs; b;
b; rw; rw; rwz; b; rfz; rfz; f; rs; rwz; st; rs; rf; rwz; f; st; rfz; rs; rw; b;
b; rfz; st; rf; rf; rs; rwz; rfz; st; f; f; b; rf; rs; rs; rf; rf; f; b; rwz;
b; f; rfz; rwz; rfz; rwz; f; rfz; rs; f; f; rwz; f; rs; b; rw; b; b; f; rw;
b; b; f; f; f; rfz; f; f; f; f; st; st; rfz; rw; st; rwz; rfz; st; rw; rw;
st; rwz; rs; rs; st; b; rf; rs; rs; st; rw; f; st; b; rfz; rwz; rw; rwz; rfz; b;
st; rs; rw; f; b; st; rw; rfz; rf; rfz; rf; f; st; f; rs; rs; rw; rfz; rs; rs;
st; rwz; st; b; rs; rfz; b; rfz; st; f; rw; b; st; b; rs; rwz; rf; rwz; rfz; b;
b; f; st; rw; b; f; f; rf; rfz; rf; f; rw; rs; f; rfz; rwz; rw; rfz; rwz; b;
b; f; rwz; st; f; b; f; st; rs; rs; rfz; rw; rs; st; rf; f; b; b; rs; rfz;
st; f; rs; b; rwz; rw; rwz; rs; b; st; rwz; rw; rwz; f; rw; rw; rfz; rs; st; b;
b; rw; rw; rfz; rfz; rfz; rwz; rs; rf; rf; b; rf; rs; rwz; st; b; rwz; rs; rfz; b;
st; b; f; f; rfz; rw; rf; st; rw; rfz; st; f; f; rf; st; rwz; rwz; st; f; st;
b; f; rf; f; rwz; st; rf; rs; rs; rwz; f; rwz; rf; rs; f; rs; rf; b; b; st;
b; rw; st; rw; st; b; b; rwz; st; rfz; rfz; f; st; rfz; rf; st; st; f; rwz; rs;
