st; b; rw; rw; rs; rfz; rfz; rwz; b; st; rw; rw; rs; f; b; rf; rwz; rw; b; st;
b; rf; st; rf; rf; st; rf; rwz; rw; f; st; f; rwz; rfz; st; b; rfz; rwz; rf; rwz;
st; f; f; rwz; b; st; rs; rfz; rw; rf; rwz; st; rwz; rwz; st; rfz; b; rf; st; st;
b; rwz; b; st; b; b; rf; rf; rs; f; f; st; rf; rwz; rf; rs; rf; rwz; b; rwz;
b; rfz; rs; f; rf; rs; rwz; rs; b; rfz; st; rf; st; b; rs; rs; f; rw; f; b;
st; rs; f; f; rs; b; rf; b; rf; rw; st; rs; rwz; st; b; b; rwz; b; f; rfz;
b; st; rwz; rwz; f; st; rf; rs; rs; st; rw; rw; st; f; b; rf; rfz; rf; rs; f;
st; b; rf; f; rs; rs; f; f; rfz; f; rwz; st; rw; rs; st; f; rw; st; rwz; b;
st; rf; rs; b; b; rw; rwz; rwz; rs; rwz; rf; rw; f; rfz; rfz; rw; rwz; rfz; f; st;
st; rwz; b; rs; rfz; st; b; rfz; rs; f; b; rfz; rfz; rw; rwz; b; rs; rfz; rfz; rf;
b; b; rs; rfz; rs; rf; rw; rfz; b; rs; rwz; st; st; rs; rf; st; f; rs; f; rs;
st; rwz; rfz; b; st; f; rwz; rwz; rs; rwz; f; rwz; f; rwz; rf; rs; rf; rw; rs; rs;
st; st; st; f; rwz; rw; b; rf; rf; rf; st; rw; rw; rfz; rf; st; rw; st; rf; rw;
st; b; rwz; rs; b; rwz; st; rfz; rwz; rfz; st; rfz; b; rfz; rs; rw; rwz; rfz; rf; rs;
b; f; b; rwz; rfz; rf; f; st; rwz; rs; rf; f; st; rfz; st; b; st; rfz; st; st;
st; rs; rfz; rs; rfz; b; rs; rs; rw; rwz; rs; f; b; rw; rf; rfz; st; rwz; b; rwz;
st; b; b; rs; f; f; rs; rfz; rfz; b; f; f; rw; f; rf; rf; f; b; rwz; rwz;
